,0
0,SN18700
1,SN87110
2,SN40250
3,SN80740
4,SN26990
5,SN26900
6,SN15730
7,SN85890
8,SN23500
9,SN12680
10,SN68290
11,SN55290
12,SN27450
13,SN97251
14,SN97350
15,SN73550
16,SN43010
17,SN32890
18,SN69100
19,SN67560
20,SN27420
21,SN28380
22,SN91380
23,SN44610
24,SN24890
25,SN12960
26,SN50310
27,SN51530
28,SN3190
29,SN86520
30,SN63705
31,SN90450
32,SN12550
33,SN36200
34,SN44080
35,SN24710
36,SN42160
37,SN34130
38,SN68860
39,SN49490
40,SN50540
41,SN18950
42,SN69150
43,SN58070
44,SN40880
45,SN21680
46,SN4780
47,SN93700
48,SN13420
49,SN63420
50,SN16560
51,SN50070
52,SN99460
53,SN9580
54,SN80610
55,SN77425
56,SN45530
57,SN11500
58,SN38140
59,SN69380
60,SN4460
61,SN66150
62,SN180
63,SN76450
64,SN93900
65,SN42940
66,SN7950
67,SN32060
68,SN33890
69,SN98550
70,SN93140
71,SN23420
72,SN39040
73,SN20301
74,SN55820
75,SN50500
76,SN25630
77,SN90490
78,SN76530
79,SN47300
80,SN78800
81,SN67280
82,SN700
83,SN82290
84,SN77230
85,SN74350
86,SN25830
87,SN92350
88,SN41175
89,SN16610
90,SN60500
91,SN31620
92,SN2650
93,SN93301
94,SN87640
95,SN28922
96,SN37230
97,SN44300
98,SN41770
99,SN53101
100,SN71000
101,SN44560
102,SN90400
103,SN82110
104,SN71550
105,SN36560
106,SN6020
107,SN84900
108,SN54710
109,SN58900
110,SN10380
111,SN89350
